theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,2,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,3,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,4,0.9844,,0.9361,1.0,0.0483,64,63,0,0.9844,"{""correct"": 63, ""in_sequence"": 1}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,5,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,6,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,7,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,8,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,14,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,cot_thinking,arbitrary_single,flat_nolabel,5,50,IVQ,ordinal,20,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq_arbitrary_single/claude-opus-4-5-20251101__cot_thinking__ARBITRARY_SINGLE/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0; thinking_budget=3000
