model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,0,0.0,0.02633659246931558,1.6985574806069185e-05,23.232342764024686,0.1051042929100485,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,1,0.027778,0.031603910963178695,0.0034354745029576625,21.74483184245198,0.11599484537722962,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,2,0.055556,0.03634387351778656,0.005683209106774134,21.144663684903957,0.12398051163056287,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,3,0.083333,0.03897683933153041,0.008833902248009264,21.392975521808474,0.12342307792766105,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,4,0.111111,0.04714236183343735,0.005023224651175549,20.59821961029055,0.1363190873597103,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,5,0.138889,0.051091117120865406,0.0035451902439643528,20.191263088551416,0.14217131781933962,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,6,0.166667,0.05030268358643645,0.005228457909356481,20.179899105471186,0.14089060634735512,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,7,0.194444,0.04582795922612857,0.004138672430526233,20.25465397683933,0.13795837167801533,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,8,0.222222,0.04688232438804522,0.007946863654044067,20.28729630400111,0.1395542821322942,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,9,0.25,0.053464045489217106,0.0027276616427442495,19.220224672352817,0.1524595980289834,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,10,0.277778,0.056890298869703905,0.007113248624424358,19.237305318632554,0.15276353697452114,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,11,0.305556,0.06373621801539421,0.004992010853060312,19.017465848415505,0.16219836728401096,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,12,0.333333,0.05925976007211705,0.005735576542511457,18.98035642465848,0.15859432178793187,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,13,0.361111,0.06663650232300118,0.009181692226190153,18.36751958948755,0.1691854234649035,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,14,0.388889,0.06215865751334859,0.009536392397146206,18.54976978018168,0.1635085652214734,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,15,0.416667,0.06611053325012135,0.009546945917318292,18.632437764371403,0.1658722953637197,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,correct,expected,0.1,16,0.444444,0.06505616808820472,0.007743972832044452,18.357508841273145,0.16758588968849672,5,False,3797,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_ref.json,
