model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,0,0.0,0.030694136084628443,0.0019696393414041133,22.37401397414131,0.11281537675367022,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,1,0.029412,0.021006921770928562,0.008268486074663453,25.24567389316965,0.09191185028796452,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,2,0.058824,0.021816638370118845,0.00658953668389037,24.038121979887684,0.0971180205392529,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,3,0.088235,0.01858103695964477,0.003250463981092307,24.25238670497584,0.09647676613839887,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,4,0.117647,0.022616560010447956,0.006033784762950683,24.437906490792738,0.09778953557873991,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,5,0.147059,0.02423925819511558,0.014258466136024895,24.49582734752514,0.09710500851549023,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,6,0.176471,0.02101018675721562,0.016861256623614845,24.504802794828265,0.09509603335746739,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,7,0.205882,0.022616560010447956,0.008308447755407013,23.767849680031343,0.100103574750973,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,8,0.235294,0.020997126812067387,0.010031844506930386,24.194521353010316,0.09577427582258126,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,9,0.264706,0.0266553480475382,0.009086295521897613,23.550359148491577,0.10452045491654918,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,10,0.294118,0.025852161420922025,0.013211373152877568,23.78958795873057,0.10384598674576986,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,11,0.323529,0.025852161420922032,0.009090935557079589,23.802922162726915,0.09964698546812326,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,12,0.352941,0.025042444821731753,0.007833157336572222,23.641778764529185,0.10449571963675844,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,13,0.382353,0.033123285882199295,0.0069650047822162105,22.292239127595668,0.11698528391824936,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,14,0.411765,0.03880436202167951,0.0171445670387418,21.982995951417003,0.12327370416631181,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,15,0.441176,0.04282029515476035,0.016134986124028087,20.490038526838187,0.13898681032600482,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,16,0.470588,0.058965652344260155,0.008701099632226497,18.570729397936525,0.1634321472067805,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,17,0.5,0.07029515476035,0.021694019510907717,17.82436332767402,0.1758840499184698,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,18,0.529412,0.8675558312655086,0.015810141105090464,1.5613686822515347,0.9101826419267669,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,19,0.558824,0.8392908449784511,0.01873709208482602,1.7254701580253364,0.8921823736432666,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,20,0.588235,0.809412955465587,0.02341067706768338,1.9314254930129295,0.8701054509063564,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,21,0.617647,0.7827282225414652,0.025605286042405927,2.153336815985373,0.8484682318831147,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,22,0.647059,0.8522169256889122,0.023402650084821102,1.7106928300901139,0.8991691079089895,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,23,0.676471,0.884530494971921,0.0274262256892813,1.5274585346741545,0.9230430615390592,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,24,0.705882,0.9983838317879066,0.0019794004610009987,1.0016161682120934,0.9991919158939533,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,25,0.735294,0.9975773801750034,0.00322744513782008,1.0024226198249966,0.9987886900875017,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,26,0.764706,0.9967676635758129,0.0030192209309689412,1.0032323364241869,0.9983838317879066,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
gemma-3-4b-it,Gemma-3,base,10,5,FVQ,ordinal,k1,1,correct,expected,0.1,27,0.794118,0.9975773801750034,0.00322744513782008,1.0024226198249966,0.9987886900875017,5,False,1238,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/gemma-3-4b-it_10k_5u/probe_fits_ref.json,
