theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,1,CVQ,semantic,last,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,1,FVQ,semantic,first,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,5,CVQ,semantic,last,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,5,FVQ,semantic,first,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,10,CVQ,semantic,last,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,10,FVQ,semantic,first,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,15,CVQ,semantic,last,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,15,FVQ,semantic,first,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,20,CVQ,semantic,last,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,20,FVQ,semantic,first,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,30,CVQ,semantic,last,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,30,FVQ,semantic,first,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,50,CVQ,semantic,last,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
01_fvq_cvq,gemini-2.5-pro,Gemini-2.5,True,base,semantic_multi,,1,50,FVQ,semantic,first,1.0,,1.0,1.0,,40,,,,,,,raw,experiments_cloud/results/proprietary_semantic_multi.csv,upstream source_file: experiments_cloud/results/semantic_k1/gemini-2.5-pro/sweep_full_20260519_144648.json
