theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,5,CVQ,semantic,last,0.92,,0.86,0.97,,100,,0,0.92,"{""correct"": 92, ""intermediate_intrusion"": 8}",AB,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,5,FVQ,semantic,first,1.0,,1.0,1.0,,100,,0,1.0,"{""correct"": 100}",AB,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,7,CVQ,semantic,last,0.79,,0.71,0.87,,100,,0,0.79,"{""correct"": 79, ""intermediate_intrusion"": 21}",B,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,7,FVQ,semantic,first,1.0,,1.0,1.0,,100,,0,1.0,"{""correct"": 100}",B,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,10,CVQ,semantic,last,0.81,,0.73,0.88,,100,,0,0.81,"{""correct"": 81, ""intermediate_intrusion"": 19}",B,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,10,FVQ,semantic,first,1.0,,1.0,1.0,,100,,0,1.0,"{""correct"": 100}",B,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,15,CVQ,semantic,last,0.84,,0.77,0.91,,100,,0,0.84,"{""correct"": 84, ""intermediate_intrusion"": 16}",B,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,15,FVQ,semantic,first,1.0,,1.0,1.0,,100,,0,1.0,"{""correct"": 100}",B,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,20,CVQ,semantic,last,0.86,,0.78,0.92,,100,,0,0.86,"{""correct"": 86, ""intermediate_intrusion"": 14}",AB,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
01_fvq_cvq,Qwen3.5-9B,Qwen3.5,False,base,arbitrary_single,completion_few_shot,2,20,FVQ,semantic,first,1.0,,1.0,1.0,,100,,0,1.0,"{""correct"": 100}",AB,,raw,v3/results_vllm/arbitrary_single/Qwen3.5-9B/stage1_sweep_20260509_100749.json,
