theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,2,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,3,0.9583,,0.912,1.0,0.0463,96,92,0,0.9583,"{""correct"": 92, ""in_sequence"": 4}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,4,0.585,,0.5173,0.6527,0.0677,200,117,0,0.585,"{""correct"": 117, ""in_sequence"": 83}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,5,0.505,,0.4364,0.5736,0.0686,200,101,0,0.505,"{""correct"": 101, ""in_sequence"": 99}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,6,0.4,,0.3327,0.4673,0.0673,200,80,0,0.4,"{""correct"": 80, ""in_sequence"": 120}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,7,0.34,,0.2748,0.4052,0.0652,200,68,0,0.34,"{""correct"": 68, ""in_sequence"": 132}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,8,0.32,,0.2558,0.3842,0.0642,200,64,0,0.32,"{""correct"": 64, ""in_sequence"": 136}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,9,0.35,,0.2844,0.4156,0.0656,200,70,0,0.35,"{""correct"": 70, ""in_sequence"": 130}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,CVQ,ordinal,10,0.875,,0.8254,0.9246,0.0496,176,154,0,0.875,"{""correct"": 154, ""in_sequence"": 22}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
