theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,30,CVQ,semantic,last,0.38,,0.28,0.48,,100,,6,0.4043,"{""correct"": 38, ""garbage"": 6, ""intermediate_intrusion"": 56}",AB,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,30,FVQ,semantic,first,0.5,,0.4,0.6,,100,,2,0.5102,"{""correct"": 50, ""garbage"": 2, ""intermediate_intrusion"": 46, ""recency_intrusion"": 2}",AB,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,50,CVQ,semantic,last,0.46,,0.36,0.55,,100,,2,0.4694,"{""correct"": 46, ""garbage"": 2, ""intermediate_intrusion"": 52}",AB,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,50,FVQ,semantic,first,0.52,,0.42,0.62,,100,,3,0.5361,"{""correct"": 52, ""garbage"": 3, ""intermediate_intrusion"": 43, ""recency_intrusion"": 2}",AB,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,75,CVQ,semantic,last,0.51,,0.41,0.61,,100,,6,0.5426,"{""correct"": 51, ""garbage"": 6, ""intermediate_intrusion"": 43}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,7,75,FVQ,semantic,first,0.44,,0.35,0.54,,100,,4,0.4583,"{""correct"": 44, ""garbage"": 4, ""intermediate_intrusion"": 49, ""recency_intrusion"": 3}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,10,30,CVQ,semantic,last,0.46,,0.36,0.55,,100,,9,0.5055,"{""correct"": 46, ""garbage"": 9, ""intermediate_intrusion"": 45}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,10,30,FVQ,semantic,first,0.41,,0.32,0.51,,100,,5,0.4316,"{""correct"": 41, ""garbage"": 5, ""intermediate_intrusion"": 52, ""recency_intrusion"": 2}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,10,50,CVQ,semantic,last,0.5,,0.4,0.6,,100,,6,0.5319,"{""correct"": 50, ""garbage"": 6, ""intermediate_intrusion"": 44}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,10,50,FVQ,semantic,first,0.42,,0.32,0.52,,100,,4,0.4375,"{""correct"": 42, ""garbage"": 4, ""intermediate_intrusion"": 52, ""recency_intrusion"": 2}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,10,75,CVQ,semantic,last,0.58,,0.48,0.67,,100,,4,0.6042,"{""correct"": 58, ""garbage"": 4, ""intermediate_intrusion"": 38}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,10,75,FVQ,semantic,first,0.22,,0.14,0.3,,100,,14,0.2558,"{""correct"": 22, ""garbage"": 14, ""intermediate_intrusion"": 59, ""recency_intrusion"": 5}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,15,CVQ,semantic,last,0.49,,0.39,0.59,,100,,4,0.5104,"{""correct"": 49, ""garbage"": 4, ""intermediate_intrusion"": 46, ""primacy_intrusion"": 1}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,15,FVQ,semantic,first,0.44,,0.35,0.54,,100,,3,0.4536,"{""correct"": 44, ""garbage"": 3, ""intermediate_intrusion"": 49, ""recency_intrusion"": 4}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,20,CVQ,semantic,last,0.58,,0.48,0.67,,100,,4,0.6042,"{""correct"": 58, ""garbage"": 4, ""intermediate_intrusion"": 38}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,20,FVQ,semantic,first,0.32,,0.23,0.42,,100,,5,0.3368,"{""correct"": 32, ""garbage"": 5, ""intermediate_intrusion"": 60, ""recency_intrusion"": 3}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,30,CVQ,semantic,last,0.6,,0.5,0.69,,100,,8,0.6522,"{""correct"": 60, ""garbage"": 8, ""intermediate_intrusion"": 32}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,30,FVQ,semantic,first,0.35,,0.2598,0.44,,100,,4,0.3646,"{""correct"": 35, ""garbage"": 4, ""intermediate_intrusion"": 57, ""recency_intrusion"": 4}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,50,CVQ,semantic,last,0.59,,0.49,0.68,,100,,6,0.6277,"{""correct"": 59, ""garbage"": 6, ""intermediate_intrusion"": 35}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,50,FVQ,semantic,first,0.18,,0.11,0.26,,100,,9,0.1978,"{""correct"": 18, ""garbage"": 9, ""intermediate_intrusion"": 68, ""recency_intrusion"": 5}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,75,CVQ,semantic,last,0.56,,0.46,0.66,,100,,8,0.6087,"{""correct"": 56, ""garbage"": 8, ""intermediate_intrusion"": 36}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,15,75,FVQ,semantic,first,0.11,,0.05,0.18,,100,,9,0.1209,"{""correct"": 11, ""garbage"": 9, ""intermediate_intrusion"": 71, ""recency_intrusion"": 9}",D,held_out,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,baseline paired with eval run 'all ARB eval runs'
