theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,2,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,3,0.86,,0.8114,0.9086,0.0486,200,172,0,0.86,"{""correct"": 172, ""in_sequence"": 28}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,4,0.535,,0.4665,0.6035,0.0685,200,107,0,0.535,"{""correct"": 107, ""in_sequence"": 93}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,5,0.119,,0.0692,0.1689,0.0499,168,20,0,0.119,"{""correct"": 20, ""in_sequence"": 148}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,6,0.119,,0.0692,0.1689,0.0499,168,20,0,0.119,"{""correct"": 20, ""in_sequence"": 148}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,7,0.0625,,0.0139,0.1111,0.0486,112,7,0,0.0625,"{""correct"": 7, ""in_sequence"": 105}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,8,0.0278,,0.0,0.0776,0.0498,72,2,0,0.0278,"{""correct"": 2, ""in_sequence"": 70}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,IVQ,ordinal,9,0.0667,,0.0189,0.1145,0.0478,120,8,0,0.0667,"{""correct"": 8, ""in_sequence"": 112}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-haiku,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,CVQ,ordinal,10,0.0278,,0.0,0.0776,0.0498,72,2,1,0.0282,"{""correct"": 2, ""garbage"": 1, ""in_sequence"": 69}",,,raw,experiments_cloud/results/cot_ivq/claude-haiku-4-5-20251001__nocot/checkpoint.json,model_id=claude-haiku-4-5-20251001; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
