theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,4,FVQ,semantic,first,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,4,CVQ,semantic,last,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,4,IVQ,ordinal,2,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,4,IVQ,ordinal,2,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 2 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,4,IVQ,ordinal,3,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 3 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,6,FVQ,semantic,first,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,6,CVQ,semantic,last,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,6,IVQ,ordinal,2,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 6
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,6,IVQ,ordinal,3,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 3 of 6
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,lora,arbitrary_single,chat_template,2,6,IVQ,ordinal,4,0.9933333333333333,,,,,150,149,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 4 of 6
