theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,2,30,FVQ,ordinal,1,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K2N30; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,2,30,CVQ,ordinal,30,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K2N30; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,FVQ,ordinal,1,1.0,,0.9485813916897793,1.0,0.05141860831022067,48,48,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,2,0.9375,,0.8785930169610395,0.9964069830389605,0.058906983038960456,80,75,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,3,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,4,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,5,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,6,0.96875,,0.9132209307514648,1.0,0.05552906924853514,64,62,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,7,0.9125,,0.846496063261101,0.9785039367388989,0.06600393673889889,80,73,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,8,0.9375,,0.8785930169610395,0.9964069830389605,0.058906983038960456,80,75,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,9,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,10,0.8645833333333334,,0.7946487702282099,0.9345178964384568,0.06993456310512348,96,83,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,11,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,12,0.8645833333333334,,0.7946487702282099,0.9345178964384568,0.06993456310512348,96,83,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,13,0.8958333333333334,,0.8322289143768012,0.9594377522898655,0.06360441895653211,96,86,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,14,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,15,0.875,,0.8070530407258207,0.9429469592741793,0.06794695927417928,96,84,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,16,0.8645833333333334,,0.7946487702282099,0.9345178964384568,0.06993456310512348,96,83,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,17,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,18,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,IVQ,ordinal,19,0.9791666666666666,,0.9163989744333195,1.0,0.06276769223334708,48,47,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,20,CVQ,ordinal,20,0.953125,,0.8914048570345556,1.0,0.06172014296544431,64,61,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N20; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,FVQ,ordinal,1,0.96875,,0.9132209307514648,1.0,0.05552906924853514,64,62,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,2,0.625,,0.5571076440563436,0.6928923559436564,0.06789235594365636,192,120,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,4,0.8645833333333334,,0.7946487702282099,0.9345178964384568,0.06993456310512348,96,83,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,6,0.8854166666666666,,0.8195758312681732,0.95125750206516,0.06584083539849336,96,85,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,8,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,10,0.7986111111111112,,0.7330521081147151,0.8641701141075072,0.06555900299639601,144,115,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,12,0.7708333333333334,,0.70236493703996,0.8393017296267068,0.06846839629337345,144,111,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,14,0.828125,,0.762341374928522,0.893908625071478,0.06578362507147795,128,106,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,16,0.7569444444444444,,0.6871689153537328,0.826719973535156,0.06977552909071161,144,109,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,18,0.7847222222222222,,0.7176572728896237,0.8517871715548208,0.06706494933259853,144,113,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,20,0.7375,,0.6696730668944486,0.8053269331055515,0.06782693310555145,160,118,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,22,0.8645833333333334,,0.7946487702282099,0.9345178964384568,0.06993456310512348,96,83,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,24,0.8046875,,0.7358774059423626,0.8734975940576374,0.06881009405763741,128,103,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,26,0.75,,0.6831850752638997,0.8168149247361003,0.06681492473610032,160,120,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,28,0.925,,0.8623917382068295,0.9876082617931706,0.06260826179317054,80,74,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,30,0.6875,,0.6195219000484253,0.7554780999515747,0.06797809995157464,176,121,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,32,0.8660714285714286,,0.801756246056594,0.9303866110862632,0.0643151825148346,112,97,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,34,0.8482142857142857,,0.7808953109939074,0.915533260434664,0.0673189747203783,112,95,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,36,0.875,,0.8070530407258207,0.9429469592741793,0.06794695927417928,96,84,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,38,0.875,,0.8070530407258207,0.9429469592741793,0.06794695927417928,96,84,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,40,0.8958333333333334,,0.8322289143768012,0.9594377522898655,0.06360441895653211,96,86,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,42,0.9125,,0.846496063261101,0.9785039367388989,0.06600393673889889,80,73,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,44,0.8482142857142857,,0.7808953109939074,0.915533260434664,0.0673189747203783,112,95,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,46,0.925,,0.8623917382068295,0.9876082617931706,0.06260826179317054,80,74,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,IVQ,ordinal,48,0.9375,,0.8703384944005647,1.0,0.0671615055994353,64,60,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,50,CVQ,ordinal,50,0.96875,,0.9132209307514648,1.0,0.05552906924853514,64,62,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N50; condition key base_block
04_lora,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,block,5,75,FVQ,ordinal,1,0.9,,0.8308609494456025,0.9691390505543975,0.06913905055439752,80,72,,,,,,raw,lora_intervention/experiments/behavioral_block_lora_results/results.json,block-vs-LoRA behavioural sweep; cell K5N75; condition key base_block
