arm,model,variant,num_keys,num_updates,condition,query_type,behavioral_accuracy,n_trials,n_correct,n_wrong,H_out_all,H_out_correct,H_out_wrong,confusion_gap,provenance_tier,source_file,notes
base,Qwen2.5-3B-Instruct,base,2,4,FVQ,semantic,0.8466666666666667,150,127,23,0.012450856402309456,0.008530632732400746,0.03409730884050105,0.025566676108100303,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,4,CVQ,semantic,0.46,150,69,81,0.024837843578879075,0.018029112955847186,0.030637873368869185,0.012608760413021999,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,4,IVQ_d25,ordinal,0.6066666666666667,150,91,59,0.02567045844418525,0.022180803562670905,0.03105280749872433,0.008872003936053426,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,4,IVQ_d50,ordinal,0.6133333333333333,150,92,58,0.02384190262086933,0.02070783880661067,0.02881317625727966,0.008105337450668989,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,4,IVQ_d75,ordinal,0.16666666666666666,150,25,125,0.026396414044091397,0.036103439814186594,0.02445500889007236,-0.011648430924114234,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,6,FVQ,semantic,0.9133333333333333,150,137,13,0.010881917641867215,0.009019088172657745,0.03051327435584397,0.02149418618318622,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,"n_wrong=13 -- gap is noisy, do not quote this cell alone"
base,Qwen2.5-3B-Instruct,base,2,6,CVQ,semantic,0.34,150,51,99,0.036678981662849525,0.03431557777333376,0.03789649275744854,0.0035809149841147803,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,6,IVQ_d25,ordinal,0.58,150,87,63,0.03322020288578098,0.024322136048986757,0.045508009469925455,0.021185873420938698,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,6,IVQ_d50,ordinal,0.21333333333333335,150,32,118,0.02781558275175541,0.030340955147131688,0.027130736000466924,-0.003210219146664764,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,6,IVQ_d75,ordinal,0.19333333333333333,150,29,121,0.036831285586036794,0.03674771319657753,0.03685131533227085,0.00010360213569331894,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,8,FVQ,semantic,0.8733333333333333,150,131,19,0.013472611566474137,0.008519780123258247,0.04762108099075206,0.03910130086749381,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,"n_wrong=19 -- gap is noisy, do not quote this cell alone"
base,Qwen2.5-3B-Instruct,base,2,8,CVQ,semantic,0.22,150,33,117,0.04896163224791907,0.03771799631123756,0.052132914178777974,0.014414917867540414,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,8,IVQ_d25,ordinal,0.5,150,75,75,0.029904794018031648,0.022040333412910295,0.03776925462315303,0.015728921210242736,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,8,IVQ_d50,ordinal,0.28,150,42,108,0.05141708745193756,0.03734634208608377,0.05688904398310291,0.019542701897019142,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,8,IVQ_d75,ordinal,0.07333333333333333,150,11,139,0.05830435859362646,0.05841078667558766,0.05829593622742809,-0.00011485044815957163,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,10,FVQ,semantic,0.8933333333333333,150,134,16,0.01053104176240504,0.007534556048734368,0.035626609614396905,0.028092053565662536,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,"n_wrong=16 -- gap is noisy, do not quote this cell alone"
base,Qwen2.5-3B-Instruct,base,2,10,CVQ,semantic,0.24666666666666667,150,37,113,0.05026359991098096,0.04776446809264134,0.05108189970990632,0.003317431617264978,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,10,IVQ_d25,ordinal,0.5666666666666667,150,85,65,0.03168347162717882,0.023685879571497936,0.04214186123845384,0.018455981666955907,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,10,IVQ_d50,ordinal,0.10666666666666667,150,16,134,0.053922128912935074,0.05086734645404221,0.05428687905728048,0.0034195326032382747,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,10,IVQ_d75,ordinal,0.06666666666666667,150,10,140,0.07520691220313494,0.07928386558794684,0.07491570124707694,-0.004368164340869896,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,12,FVQ,semantic,0.8533333333333334,150,128,22,0.01372868549256485,0.008658320926066169,0.04322898842492076,0.034570667498854596,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,12,CVQ,semantic,0.22666666666666666,150,34,116,0.05852091233604613,0.03960543098088885,0.06406510514704053,0.024459674166151676,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,12,IVQ_d25,ordinal,0.20666666666666667,150,31,119,0.03666903673150289,0.04857130935482476,0.0335684447035787,-0.015002864651246062,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,12,IVQ_d50,ordinal,0.1,150,15,135,0.07460838908097903,0.07082500630531445,0.07502876494494178,0.004203758639627325,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,2,12,IVQ_d75,ordinal,0.04666666666666667,150,7,143,0.09225289462696054,0.0901052472289827,0.09235802421986855,0.0022527769908858575,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,4,4,FVQ,semantic,0.86,150,129,21,0.012836144762282753,0.008925357173054765,0.03685955423896893,0.027934197065914164,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,4,4,CVQ,semantic,0.32,150,48,102,0.026180314452916516,0.018872320929699062,0.029619370228548252,0.01074704929884919,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,4,4,IVQ_d25,ordinal,0.36,150,54,96,0.03166186712628317,0.029227731456335906,0.03303106844062848,0.0038033369842925754,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,4,4,IVQ_d50,ordinal,0.37333333333333335,150,56,94,0.02956757317088473,0.021891911559458556,0.03414030774790459,0.012248396188446031,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
base,Qwen2.5-3B-Instruct,base,4,4,IVQ_d75,ordinal,0.26,150,39,111,0.029074331023665554,0.031161989241661574,0.028340829487612892,-0.0028211597540486813,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,
