theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
03_prompt_format,SmolLM3-3B,SmolLM3,False,final,arbitrary_single,chat_1024,,,FVQ-CVQ,semantic,,,0.18,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage final; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,it-LC-expert,arbitrary_single,chat_1024,,,FVQ-CVQ,semantic,,,0.33,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage it-LC-expert; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,it-SFT,arbitrary_single,chat_1024,,,FVQ-CVQ,semantic,,,0.29,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage it-SFT; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,it-mid-training,arbitrary_single,chat_1024,,,FVQ-CVQ,semantic,,,-0.0,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage it-mid-training; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,it-soup-APO,arbitrary_single,chat_1024,,,FVQ-CVQ,semantic,,,0.2,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage it-soup-APO; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,final,arbitrary_single,completion,,,FVQ-CVQ,semantic,,,0.16,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage final; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,it-LC-expert,arbitrary_single,completion,,,FVQ-CVQ,semantic,,,0.27,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage it-LC-expert; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,it-SFT,arbitrary_single,completion,,,FVQ-CVQ,semantic,,,0.19,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage it-SFT; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,it-mid-training,arbitrary_single,completion,,,FVQ-CVQ,semantic,,,0.25,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage it-mid-training; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
03_prompt_format,SmolLM3-3B,SmolLM3,False,it-soup-APO,arbitrary_single,completion,,,FVQ-CVQ,semantic,,,0.19,,,,,,,,,,,derived,paper/figures/tab_smollm3_formats.tex,"post-training stage it-soup-APO; mean gap over 32 (K,N) cells (K in 2,3,5,7 x N in 2,3,5,7,10,15,20,30; 100 trials/cell, per paper App. training); raw v3/results_vllm/training_dynamics_smollm3/ not local"
