model,num_keys,num_updates,fvq_acc,cvq_acc,gap,fvq_ci_lower,fvq_ci_upper,cvq_ci_lower,cvq_ci_upper,n_trials,max_trials,source_file
claude-4.5-haiku,2,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,2,5,0.995,0.99,0.005,0.985,1.0,0.975,1.0,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,2,10,0.995,0.985,0.01,0.985,1.0,0.965,1.0,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,2,15,0.995,0.98,0.015,0.985,1.0,0.955,0.995,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,2,20,1.0,0.985,0.015,1.0,1.0,0.965,1.0,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,2,30,0.995,0.99,0.005,0.985,1.0,0.975,1.0,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,2,50,1.0,0.975,0.025,1.0,1.0,0.95,0.995,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,5,1,0.995,1.0,-0.005,0.985,1.0,1.0,1.0,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,5,5,1.0,0.97,0.03,1.0,1.0,0.945,0.99,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,5,10,1.0,0.915,0.085,1.0,1.0,0.87,0.95,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,5,15,1.0,0.825,0.175,1.0,1.0,0.77,0.875,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,5,20,1.0,0.73,0.27,1.0,1.0,0.67,0.79,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,5,30,1.0,0.67,0.33,1.0,1.0,0.6049,0.735,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,5,50,0.995,0.62,0.375,0.985,1.0,0.555,0.685,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,10,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,10,5,1.0,0.93,0.07,1.0,1.0,0.895,0.965,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,10,10,1.0,0.775,0.225,1.0,1.0,0.715,0.83,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,10,15,1.0,0.71,0.29,1.0,1.0,0.645,0.77,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,10,20,1.0,0.57,0.43,1.0,1.0,0.5,0.64,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,10,30,0.99,0.59,0.4,0.975,1.0,0.52,0.6551,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,10,50,0.995,0.51,0.485,0.985,1.0,0.445,0.5801,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,15,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,15,5,1.0,0.91,0.09,1.0,1.0,0.87,0.945,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,15,10,0.995,0.79,0.205,0.985,1.0,0.73,0.845,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,15,15,0.995,0.605,0.39,0.985,1.0,0.54,0.67,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,15,20,0.995,0.535,0.46,0.985,1.0,0.465,0.6,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,15,30,0.995,0.605,0.39,0.985,1.0,0.535,0.67,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,15,50,0.99,0.425,0.565,0.975,1.0,0.355,0.495,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,20,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,20,5,1.0,0.856,0.144,1.0,1.0,0.792,0.92,125,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,20,10,0.9867,0.7667,0.22,0.9667,1.0,0.6933,0.8333,150,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,20,15,0.9771,0.68,0.2971,0.9543,0.9943,0.6114,0.7486,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,20,20,0.9943,0.6629,0.3314,0.9829,1.0,0.5886,0.7314,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,20,30,0.9886,0.6686,0.32,0.9714,1.0,0.6,0.7371,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,20,50,1.0,0.525,0.475,1.0,1.0,0.455,0.6,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,25,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,25,5,1.0,0.86,0.14,1.0,1.0,0.79,0.92,100,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,25,10,0.9933,0.7467,0.2466,0.98,1.0,0.6732,0.8133,150,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,25,15,0.9943,0.6914,0.3029,0.9829,1.0,0.6229,0.76,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,25,20,0.9829,0.6514,0.3315,0.96,1.0,0.5771,0.7257,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,25,30,0.995,0.595,0.4,0.985,1.0,0.525,0.665,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,25,50,0.985,0.475,0.51,0.965,1.0,0.405,0.545,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,30,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,30,5,0.99,0.86,0.13,0.97,1.0,0.79,0.92,100,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,30,10,1.0,0.6686,0.3314,1.0,1.0,0.6,0.7371,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,30,15,0.9886,0.7029,0.2857,0.9714,1.0,0.64,0.7714,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,30,20,0.995,0.64,0.355,0.985,1.0,0.575,0.705,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,30,30,0.995,0.525,0.47,0.985,1.0,0.455,0.595,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,30,50,0.97,0.515,0.455,0.945,0.99,0.445,0.585,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,40,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,40,5,0.98,0.8,0.18,0.9533,1.0,0.7333,0.86,150,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,40,10,0.9867,0.7533,0.2334,0.9667,1.0,0.68,0.82,150,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,40,15,0.9771,0.6514,0.3257,0.9543,0.9943,0.5829,0.72,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,40,20,0.995,0.655,0.34,0.985,1.0,0.585,0.72,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,40,30,0.965,0.585,0.38,0.94,0.99,0.515,0.65,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,40,50,0.985,0.5,0.485,0.965,1.0,0.43,0.57,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,45,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,45,5,0.9933,0.76,0.2333,0.98,1.0,0.6933,0.8267,150,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,45,10,0.9771,0.72,0.2571,0.9543,0.9943,0.6514,0.7886,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
