modelId,modelArn,max_input_tokens,max_output_tokens,notes
nvidia.nemotron-nano-12b-v2,arn:aws:bedrock:us-east-1::foundation-model/nvidia.nemotron-nano-12b-v2,128000,8192,"NVIDIA Nemotron Nano models support 128K context; output limited by inference config"
anthropic.claude-sonnet-4-20250514-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-sonnet-4-20250514-v1:0,200000,65536,"Claude Sonnet 4 with 200K context window; 64K max output"
anthropic.claude-haiku-4-5-20251001-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-haiku-4-5-20251001-v1:0,200000,8192,"Claude Haiku 4.5 with 200K context window"
openai.gpt-oss-120b-1:0,arn:aws:bedrock:us-east-1::foundation-model/openai.gpt-oss-120b-1:0,128000,8192,"OpenAI GPT-OSS-120B with 128K context; 8K output limit on Bedrock"
qwen.qwen3-next-80b-a3b,arn:aws:bedrock:us-east-1::foundation-model/qwen.qwen3-next-80b-a3b,256000,8192,"Qwen3 with 256K context window; output limited by inference config"
minimax.minimax-m2,arn:aws:bedrock:us-east-1::foundation-model/minimax.minimax-m2,204800,131000,"MiniMax M2 with 204.8K input context; 131K max output"
mistral.voxtral-mini-3b-2507,arn:aws:bedrock:us-east-1::foundation-model/mistral.voxtral-mini-3b-2507,32000,8192,"Mistral Voxtral Mini with 32K context; output limit varies by config"
amazon.nova-pro-v1:0,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-pro-v1:0,300000,5000,"Amazon Nova Pro Gen1 with 300K context window by default"
amazon.nova-2-lite-v1:0,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-2-lite-v1:0,1000000,8192,"Amazon Nova 2 Lite with 1M context window"
amazon.nova-2-lite-v1:0:256k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-2-lite-v1:0:256k,256000,8192,"Amazon Nova 2 Lite with 256K context variant"
google.gemma-3-12b-it,arn:aws:bedrock:us-east-1::foundation-model/google.gemma-3-12b-it,128000,8192,"Google Gemma 3 12B with 128K context window"
moonshot.kimi-k2-thinking,arn:aws:bedrock:us-east-1::foundation-model/moonshot.kimi-k2-thinking,256000,128000,"Moonshot Kimi K2 Thinking with 256K context; 128K thinking-token budget"
mistral.mistral-large-3-675b-instruct,arn:aws:bedrock:us-east-1::foundation-model/mistral.mistral-large-3-675b-instruct,128000,8192,"Mistral Large 3 with 128K context; output controlled by max_tokens parameter"
amazon.nova-2-sonic-v1:0,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-2-sonic-v1:0,1000000,8192,"Amazon Nova 2 Sonic with 1M context window"
qwen.qwen3-32b-v1:0,arn:aws:bedrock:us-east-1::foundation-model/qwen.qwen3-32b-v1:0,32000,8192,"Qwen3 32B with 32K context window"
mistral.ministral-3-14b-instruct,arn:aws:bedrock:us-east-1::foundation-model/mistral.ministral-3-14b-instruct,128000,8192,"Mistral Ministral 3 14B with 128K context"
writer.palmyra-x5-v1:0,arn:aws:bedrock:us-east-1::foundation-model/writer.palmyra-x5-v1:0,1000000,8192,"Writer Palmyra X5 with 1M context window; can process ~1500 pages"
nvidia.nemotron-nano-9b-v2,arn:aws:bedrock:us-east-1::foundation-model/nvidia.nemotron-nano-9b-v2,128000,8192,"NVIDIA Nemotron Nano 9B with 128K context"
mistral.ministral-3-8b-instruct,arn:aws:bedrock:us-east-1::foundation-model/mistral.ministral-3-8b-instruct,128000,8192,"Mistral Ministral 3 8B with 128K context"
mistral.voxtral-small-24b-2507,arn:aws:bedrock:us-east-1::foundation-model/mistral.voxtral-small-24b-2507,32000,8192,"Mistral Voxtral Small with 32K context"
openai.gpt-oss-20b-1:0,arn:aws:bedrock:us-east-1::foundation-model/openai.gpt-oss-20b-1:0,128000,8192,"OpenAI GPT-OSS-20B with 128K context; 8K output limit on Bedrock"
google.gemma-3-4b-it,arn:aws:bedrock:us-east-1::foundation-model/google.gemma-3-4b-it,128000,8192,"Google Gemma 3 4B with 128K context window"
openai.gpt-oss-safeguard-120b,arn:aws:bedrock:us-east-1::foundation-model/openai.gpt-oss-safeguard-120b,128000,8192,"OpenAI GPT-OSS-Safeguard-120B with 128K context; safety-focused"
google.gemma-3-27b-it,arn:aws:bedrock:us-east-1::foundation-model/google.gemma-3-27b-it,128000,8192,"Google Gemma 3 27B with 128K context window"
writer.palmyra-x4-v1:0,arn:aws:bedrock:us-east-1::foundation-model/writer.palmyra-x4-v1:0,128000,8192,"Writer Palmyra X4 with 128K context window"
anthropic.claude-sonnet-4-5-20250929-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-sonnet-4-5-20250929-v1:0,200000,65536,"Claude Sonnet 4.5 with 200K context; 64K max output"
qwen.qwen3-vl-235b-a22b,arn:aws:bedrock:us-east-1::foundation-model/qwen.qwen3-vl-235b-a22b,256000,8192,"Qwen3 VL (multimodal) with 256K context; primarily for vision tasks"
anthropic.claude-opus-4-1-20250805-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-opus-4-1-20250805-v1:0,200000,65536,"Claude Opus 4.1 with 200K context; 64K max output"
mistral.magistral-small-2509,arn:aws:bedrock:us-east-1::foundation-model/mistral.magistral-small-2509,128000,8192,"Mistral Magistral Small with 128K context"
mistral.ministral-3-3b-instruct,arn:aws:bedrock:us-east-1::foundation-model/mistral.ministral-3-3b-instruct,128000,8192,"Mistral Ministral 3 3B with 128K context"
anthropic.claude-opus-4-5-20251101-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-opus-4-5-20251101-v1:0,200000,65536,"Claude Opus 4.5 with 200K context; 64K max output"
qwen.qwen3-coder-30b-a3b-v1:0,arn:aws:bedrock:us-east-1::foundation-model/qwen.qwen3-coder-30b-a3b-v1:0,256000,8192,"Qwen3 Coder with 256K context; optimized for code generation"
openai.gpt-oss-safeguard-20b,arn:aws:bedrock:us-east-1::foundation-model/openai.gpt-oss-safeguard-20b,128000,8192,"OpenAI GPT-OSS-Safeguard-20B with 128K context; safety-focused"
amazon.titan-tg1-large,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-tg1-large,8000,8000,"Amazon Titan Text G1 Large with 8K context (combined input+output)"
amazon.nova-premier-v1:0:8k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-premier-v1:0:8k,8000,5000,"Amazon Nova Premier with 8K context variant"
amazon.nova-premier-v1:0:20k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-premier-v1:0:20k,20000,5000,"Amazon Nova Premier with 20K context variant"
amazon.nova-premier-v1:0:1000k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-premier-v1:0:1000k,1000000,5000,"Amazon Nova Premier with 1M context variant"
amazon.nova-premier-v1:0:mm,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-premier-v1:0:mm,300000,5000,"Amazon Nova Premier multimodal variant with 300K context"
amazon.nova-premier-v1:0,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-premier-v1:0,300000,5000,"Amazon Nova Premier default with 300K context"
amazon.nova-pro-v1:0:24k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-pro-v1:0:24k,24000,5000,"Amazon Nova Pro with 24K context variant"
amazon.nova-pro-v1:0:300k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-pro-v1:0:300k,300000,5000,"Amazon Nova Pro with 300K context variant"
