theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,5,CVQ,semantic,last,0.14,,0.08,0.21,,100,,0,0.14,"{""correct"": 14, ""intermediate_intrusion"": 72, ""primacy_intrusion"": 14}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,5,FVQ,semantic,first,0.73,,0.64,0.82,,100,,5,0.7684,"{""correct"": 73, ""garbage"": 5, ""intermediate_intrusion"": 22}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,7,CVQ,semantic,last,0.1,,0.04,0.16,,100,,2,0.102,"{""correct"": 10, ""garbage"": 2, ""intermediate_intrusion"": 78, ""primacy_intrusion"": 10}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,7,FVQ,semantic,first,0.82,,0.74,0.89,,100,,7,0.8817,"{""correct"": 82, ""garbage"": 7, ""intermediate_intrusion"": 11}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,10,CVQ,semantic,last,0.11,,0.05,0.1702,,100,,6,0.117,"{""correct"": 11, ""garbage"": 6, ""intermediate_intrusion"": 76, ""primacy_intrusion"": 7}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,10,FVQ,semantic,first,0.77,,0.68,0.85,,100,,8,0.837,"{""correct"": 77, ""garbage"": 8, ""intermediate_intrusion"": 14, ""recency_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,15,CVQ,semantic,last,0.06,,0.02,0.11,,100,,12,0.0682,"{""correct"": 6, ""garbage"": 12, ""intermediate_intrusion"": 68, ""primacy_intrusion"": 14}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,15,FVQ,semantic,first,0.74,,0.66,0.82,,100,,14,0.8605,"{""correct"": 74, ""garbage"": 14, ""intermediate_intrusion"": 12}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,20,CVQ,semantic,last,0.07,,0.03,0.12,,100,,19,0.0864,"{""correct"": 7, ""garbage"": 19, ""intermediate_intrusion"": 59, ""primacy_intrusion"": 15}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
01_fvq_cvq,gemma-3-1b-it,Gemma-3,False,base,arbitrary_single,chat_template,2,20,FVQ,semantic,first,0.8,,0.72,0.87,,100,,10,0.8889,"{""correct"": 80, ""garbage"": 10, ""intermediate_intrusion"": 10}",C,,raw,v3/results_vllm/arbitrary_single/gemma-3-1b-it/stage1_sweep_20260409_015538.json,
