theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,4,FVQ,semantic,first,0.8466666666666667,,,,,150,127,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,4,CVQ,semantic,last,0.46,,,,,150,69,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,4,IVQ,ordinal,2,0.6066666666666667,,,,,150,91,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,4,IVQ,ordinal,2,0.6133333333333333,,,,,150,92,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 2 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,4,IVQ,ordinal,3,0.16666666666666666,,,,,150,25,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 3 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,6,FVQ,semantic,first,0.9133333333333333,,,,,150,137,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,6,CVQ,semantic,last,0.34,,,,,150,51,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,6,IVQ,ordinal,2,0.58,,,,,150,87,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 6
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,6,IVQ,ordinal,3,0.21333333333333335,,,,,150,32,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 3 of 6
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,6,IVQ,ordinal,4,0.19333333333333333,,,,,150,29,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 4 of 6
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,8,FVQ,semantic,first,0.8733333333333333,,,,,150,131,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,8,CVQ,semantic,last,0.22,,,,,150,33,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,8,IVQ,ordinal,2,0.5,,,,,150,75,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 8
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,8,IVQ,ordinal,4,0.28,,,,,150,42,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 4 of 8
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,8,IVQ,ordinal,6,0.07333333333333333,,,,,150,11,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 6 of 8
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,FVQ,semantic,first,0.8933333333333333,,,,,150,134,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,CVQ,semantic,last,0.24666666666666667,,,,,150,37,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,IVQ,ordinal,2,0.5666666666666667,,,,,150,85,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 10
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,IVQ,ordinal,5,0.10666666666666667,,,,,150,16,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 5 of 10
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,IVQ,ordinal,8,0.06666666666666667,,,,,150,10,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 8 of 10
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,12,FVQ,semantic,first,0.8533333333333334,,,,,150,128,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,12,CVQ,semantic,last,0.22666666666666666,,,,,150,34,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,12,IVQ,ordinal,3,0.20666666666666667,,,,,150,31,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 3 of 12
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,12,IVQ,ordinal,6,0.1,,,,,150,15,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 6 of 12
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,12,IVQ,ordinal,9,0.04666666666666667,,,,,150,7,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 9 of 12
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,4,FVQ,semantic,first,0.86,,,,,150,129,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,4,CVQ,semantic,last,0.32,,,,,150,48,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,4,IVQ,ordinal,2,0.36,,,,,150,54,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,4,IVQ,ordinal,2,0.37333333333333335,,,,,150,56,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 2 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,4,IVQ,ordinal,3,0.26,,,,,150,39,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 3 of 4
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,6,FVQ,semantic,first,0.8533333333333334,,,,,150,128,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,6,CVQ,semantic,last,0.24666666666666667,,,,,150,37,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,6,IVQ,ordinal,2,0.34,,,,,150,51,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 6
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,6,IVQ,ordinal,3,0.2866666666666667,,,,,150,43,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 3 of 6
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,6,IVQ,ordinal,4,0.12,,,,,150,18,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 4 of 6
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,8,FVQ,semantic,first,0.8,,,,,150,120,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,8,CVQ,semantic,last,0.21333333333333335,,,,,150,32,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax)
05_mechanistic,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,4,8,IVQ,ordinal,2,0.34,,,,,150,51,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_base.json,Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 8
