theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,5,CVQ,semantic,last,0.73,,0.64,0.8102,,100,,1,0.7374,"{""correct"": 73, ""garbage"": 1, ""intermediate_intrusion"": 26}",AB,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,5,FVQ,semantic,first,0.86,,0.79,0.9202,,100,,0,0.86,"{""correct"": 86, ""intermediate_intrusion"": 13, ""recency_intrusion"": 1}",AB,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,7,CVQ,semantic,last,0.62,,0.53,0.71,,100,,0,0.62,"{""correct"": 62, ""intermediate_intrusion"": 38}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,7,FVQ,semantic,first,0.89,,0.82,0.94,,100,,0,0.89,"{""correct"": 89, ""intermediate_intrusion"": 11}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,CVQ,semantic,last,0.55,,0.45,0.65,,100,,1,0.5556,"{""correct"": 55, ""garbage"": 1, ""intermediate_intrusion"": 44}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,10,FVQ,semantic,first,0.87,,0.8,0.93,,100,,0,0.87,"{""correct"": 87, ""intermediate_intrusion"": 13}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,15,CVQ,semantic,last,0.44,,0.3498,0.53,,100,,0,0.44,"{""correct"": 44, ""intermediate_intrusion"": 56}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,15,FVQ,semantic,first,0.82,,0.74,0.89,,100,,3,0.8454,"{""correct"": 82, ""garbage"": 3, ""intermediate_intrusion"": 14, ""recency_intrusion"": 1}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,20,CVQ,semantic,last,0.47,,0.37,0.57,,100,,1,0.4747,"{""correct"": 47, ""garbage"": 1, ""intermediate_intrusion"": 52}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
01_fvq_cvq,Qwen2.5-3B-Instruct,Qwen2.5,False,base,arbitrary_single,chat_template,2,20,FVQ,semantic,first,0.84,,0.76,0.91,,100,,0,0.84,"{""correct"": 84, ""intermediate_intrusion"": 16}",C,,raw,v3/results_vllm/arbitrary_single/Qwen2.5-3B-Instruct/stage1_sweep_20260409_000134.json,
