arm,model,variant,num_keys,num_updates,condition,query_type,behavioral_accuracy,n_trials,n_correct,n_wrong,H_out_all,H_out_correct,H_out_wrong,confusion_gap,provenance_tier,source_file,notes
lora,Qwen2.5-3B-Instruct,lora,2,4,FVQ,semantic,1.0,150,150,0,0.0019204229654530176,0.0019204229654530176,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,4,CVQ,semantic,1.0,150,150,0,0.0022299369028031396,0.0022299369028031396,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,4,IVQ_d25,ordinal,1.0,150,150,0,0.0019208936662937462,0.0019208936662937462,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,4,IVQ_d50,ordinal,1.0,150,150,0,0.00154635718290919,0.00154635718290919,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,4,IVQ_d75,ordinal,1.0,150,150,0,0.0016280746072317876,0.0016280746072317876,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,6,FVQ,semantic,1.0,150,150,0,0.0016102059736777424,0.0016102059736777424,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,6,CVQ,semantic,1.0,150,150,0,0.0020134902375753675,0.0020134902375753675,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,6,IVQ_d25,ordinal,1.0,150,150,0,0.0014156489650450172,0.0014156489650450172,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,6,IVQ_d50,ordinal,1.0,150,150,0,0.001120148216111536,0.001120148216111536,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,6,IVQ_d75,ordinal,0.9933333333333333,150,149,1,0.0027038865360626235,0.0022288981778866446,0.07347715190428353,0.07124825372639688,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,"n_wrong=1 -- gap is noisy, do not quote this cell alone"
lora,Qwen2.5-3B-Instruct,lora,2,8,FVQ,semantic,1.0,150,150,0,0.0016851247044310776,0.0016851247044310776,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,8,CVQ,semantic,1.0,150,150,0,0.0019568172507096943,0.0019568172507096943,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,8,IVQ_d25,ordinal,1.0,150,150,0,0.0011914977766276818,0.0011914977766276818,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
lora,Qwen2.5-3B-Instruct,lora,2,8,IVQ_d50,ordinal,1.0,150,150,0,0.0025766795563571553,0.0025766795563571553,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_lora.json,
