theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,4,FVQ,ordinal,first,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,4,CVQ,ordinal,last,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,4,IVQ,ordinal,2,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 4; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,4,IVQ,ordinal,2,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 2 of 4; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,4,IVQ,ordinal,3,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 3 of 4; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,6,FVQ,ordinal,first,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,6,CVQ,ordinal,last,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,6,IVQ,ordinal,2,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 6; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,6,IVQ,ordinal,3,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 3 of 6; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,6,IVQ,ordinal,4,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 4 of 6; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,8,FVQ,ordinal,first,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,8,CVQ,ordinal,last,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,8,IVQ,ordinal,2,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 8; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,8,IVQ,ordinal,4,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 4 of 8; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,8,IVQ,ordinal,6,0.15333333333333332,,,,,150,23,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 6 of 8; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,10,FVQ,ordinal,first,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,10,CVQ,ordinal,last,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,10,IVQ,ordinal,2,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.25 -> step 2 of 10; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,10,IVQ,ordinal,5,1.0,,,,,150,150,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.50 -> step 5 of 10; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
05_mechanistic,gpt2-small,GPT-2,False,scratch_cosine,synthetic_kv,token_stream,2,10,IVQ,ordinal,8,0.9866666666666667,,,,,150,148,,,,,,raw,lora_intervention/experiments/entropy_lens/results/entropy_scratch.json,"Entropy-Lens run; correctness scored free from the logit-lens forward pass (single-token argmax); relative depth 0.75 -> step 8 of 10; chance 0.10; query is a step token, so FVQ/CVQ are ordinal too"
