model,model_family,variant,num_keys,num_updates,condition,query_type,condition_label,slot,subset,label_set,C,layer,rel_depth,top1,top1_std,mean_rank,mrr,n_folds,hit_max_iter,n_probe,chance,provenance_tier,source_file,notes
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,0,0.0,0.05267250996015936,0.001554953896720623,21.293813545816732,0.13667982129845907,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,1,0.027778,0.03831394422310757,0.01485897781674045,22.740698007968128,0.11861298732720227,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,2,0.055556,0.04071075697211155,0.009927555753171556,22.674027091633466,0.12003412468221808,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,3,0.083333,0.03831713147410358,0.011473101328515296,22.84984541832669,0.11848728495973906,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,4,0.111111,0.03909800796812749,0.008493587963368852,22.826642231075695,0.11948212555648521,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,5,0.138889,0.03751075697211155,0.006478470069030683,22.97531792828685,0.11780965477328968,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,6,0.166667,0.038304382470119525,0.005944454670088827,22.739056573705177,0.11848102886273973,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,7,0.194444,0.03591075697211155,0.0035354587958734696,22.709701992031874,0.11837079219815497,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,8,0.222222,0.034317131474103583,0.0119818833313557,22.7295203187251,0.118046137796572,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
Qwen2.5-3B-Instruct,Qwen2.5,base,5,10,FVQ,ordinal,k1,1,wrong,cv_first,0.1,9,0.25,0.02634581673306773,0.012803288414276208,22.781969721115537,0.11193752364696574,5,False,1253,0.02,raw,lora_intervention/experiments/linear_probing/results_probe50/Qwen2.5-3B-Instruct_5k_10u/probe_fits_wrong.json,"DEGENERATE: cv_first == expected at k=1, not a control here"
